x,y
21.1371824,52.1713504
21.1362043,52.1727515
21.1349549,52.1737615
21.1327402,52.174814
21.130557,52.1754796
21.1185148,52.1811297
21.1111867,52.1850018
21.1074333,52.190152
21.1063039,52.1924619
21.1052363,52.1947071
21.104216,52.1974927
21.1031436,52.2044671
21.1016542,52.2087388
21.099012,52.2112089
21.0970071,52.2130832
21.8642315,51.4766271
21.8625342,51.478025
21.8594851,51.4801538
21.8575704,51.481248
21.8558102,51.4818687
21.8531747,51.4832672
21.848408,51.486357
21.8480281,51.4866032
21.8467928,51.4876477
21.8464247,51.4886666
21.8430484,51.492368
21.8470556,51.4976391
21.8501124,51.5016768
21.8527313,51.5078313
21.8533815,51.5103245
21.8537083,51.5115778
21.8532123,51.515282
21.8494176,51.5205367
21.8475564,51.5226613
21.8471363,51.5229611
21.8448227,51.5246118
21.8430895,51.5260908
21.836618,51.5319996
21.8311926,51.5380592
21.8307116,51.5391894
21.8306954,51.5403289
21.8325804,51.5473426
21.8324892,51.5486394
21.8316745,51.5516903
21.8310323,51.5540795
21.8299634,51.5560733
21.8275623,51.5594206
21.8235193,51.5613507
21.8206136,51.5614229
21.8175007,51.5619618
21.8126876,51.5639358
21.8064071,51.5652065
21.7987644,51.566037
21.7955443,51.5665727
21.7930457,51.5672662
21.7830722,51.5684527
21.7738353,51.5667016
21.7649351,51.5648074
21.7607377,51.5622329
21.7594951,51.5620543
21.7557272,51.5611406
21.7537764,51.5603764
21.7512078,51.5604746
21.7419446,51.5606531
21.7384702,51.5602106
21.7327554,51.560374
21.7229783,51.5620169
21.7150269,51.5620048
21.7085346,51.5627565
21.7035932,51.5638512
21.6964964,51.5662204
21.6937774,51.5679221
21.6924486,51.5691939
21.69081,51.5729322
21.6886497,51.5740978
21.682509,51.5771336
21.6744888,51.5788857
21.6608252,51.5828932
21.6583052,51.5857068
21.648986,51.5934517
21.6467364,51.5972571
21.6471914,51.5996564
21.6439812,51.6059137
21.6390755,51.6108476
21.6359874,51.6120928
21.6327932,51.613276
21.6273053,51.6165728
21.6226375,51.6200069
21.6209071,51.6205824
21.6192721,51.6207297
21.6127319,51.6205005
21.9420945,51.406487
21.9449609,51.4133387
21.9461868,51.4168997
21.9455889,51.421988
21.9420577,51.4289285
21.9422248,51.4331162
21.94478,51.4409
21.943208,51.4454504
21.9405493,51.4487677
21.9309293,51.4538678
21.9194569,51.4661701
21.9094287,51.47028
21.8993252,51.4709375
21.8917473,51.4714307
21.8776574,51.474053
21.871055,51.4754696
21.8642315,51.4766271
21.0210206,52.2488811
21.0196762,52.2500914
21.0185501,52.2512116
21.0174795,52.2523639
21.016405,52.2535199
21.0157266,52.2542497
21.0139682,52.25614
21.0108477,52.26003
21.0098982,52.26101
21.0096422,52.2612874
21.0086014,52.2624208
21.0077667,52.2634335
21.0068946,52.2649134
21.0062636,52.2661584
21.0057149,52.267427
21.0054011,52.2683067
21.0051423,52.2691201
21.004924,52.2699368
21.0047283,52.2708094
21.0045776,52.2716777
21.0044371,52.2728871
21.0043614,52.2745357
21.0042597,52.2754806
21.0039679,52.2765688
21.0033569,52.2778673
21.0026402,52.2789773
21.0020142,52.2798309
20.9999848,52.2827603
20.999158,52.2837054
20.9980633,52.2849285
20.9970199,52.2861302
20.995914,52.2871606
20.9955047,52.2874182
20.9949519,52.2877641
20.9918003,52.2894786
20.9881579,52.2914102
20.9867299,52.2921186
20.9849601,52.2927824
20.9828492,52.2933802
20.9800072,52.2940167
20.9773631,52.2944885
20.6624978,52.4296008
20.6499524,52.426459
20.6406685,52.4228548
20.6310153,52.4191788
20.6223536,52.4175749
20.606696,52.4199816
20.6057681,52.4205964
20.6045474,52.421401
20.6034325,52.4221359
20.6019284,52.4231288
20.5951698,52.4275899
20.5773543,52.4289276
20.5679906,52.4313831
20.5537813,52.430831
20.5428833,52.4291815
20.5116514,52.424454
20.4661337,52.4112275
20.4468303,52.4055578
20.4249144,52.3929802
20.4011852,52.3848202
20.3924418,52.3843647
20.3280351,52.3912537
20.2526262,52.3904273
20.2182726,52.3889167
20.194539,52.3838689
20.186001,52.3821158
20.1744557,52.3802481
20.1644951,52.3800293
20.1559592,52.3816934
20.1502224,52.38438
20.1346787,52.3859134
20.1230443,52.3852756
20.1035007,52.3811002
20.0867774,52.380897
20.0724857,52.3836225
20.0613202,52.3844785
20.0466979,52.3807439
20.0419721,52.3827231
20.0349426,52.3856668
20.0283265,52.3887724
20.0101568,52.3918489
20.0036991,52.394935
19.9929395,52.3997774
19.97338,52.4140145
19.9639981,52.4238624
19.9616366,52.4267035
19.9609297,52.4271717
19.9579349,52.4291552
19.9525057,52.4325628
19.9294944,52.4435594
19.9218377,52.4476962
19.9068192,52.4524092
19.8890987,52.4553292
19.8762028,52.457811
19.8681984,52.461049
19.8621231,52.4639367
19.8496555,52.4658653
19.8321818,52.4725143
19.8126667,52.4745544
19.7797202,52.473459
19.763903,52.474565
19.7574482,52.4760636
19.7543599,52.4780189
19.7531692,52.4800194
19.7517636,52.4832003
19.7510493,52.4859035
19.7499512,52.4887858
19.7530996,52.491989
19.7546485,52.4946486
19.7565034,52.4975162
19.7574891,52.4997477
19.7574736,52.505465
19.754422,52.5095145
19.75252,52.5108627
19.75202,52.5112171
19.7512584,52.5117569
19.7471587,52.5138324
19.7377485,52.5168606
19.7304976,52.519897
19.7277671,52.5214442
19.7199444,52.5249635
19.7147182,52.5265836
19.7046678,52.5298434
19.6967154,52.5340263
19.6928662,52.5357481
19.692282,52.5360024
21.404226,51.8085462
21.3974704,51.8133195
21.3842006,51.8189872
21.3725591,51.8255615
21.3638939,51.8303817
21.3590981,51.8318368
21.3525234,51.8325843
21.3492502,51.8323941
21.3439557,51.832213
21.3379441,51.8327522
21.3355429,51.8332362
21.3201033,51.8363472
21.3074014,51.8410801
21.3013898,51.8458724
21.29724,51.8502227
21.2944029,51.8524311
21.2903989,51.8552508
21.2845863,51.8599798
21.2817195,51.8641593
21.2802711,51.8676938
21.4215639,51.7349951
21.4161138,51.7394961
21.4132663,51.7448106
21.4119006,51.7479543
21.4122749,51.7526533
21.414772,51.754566
21.4195693,51.7574055
21.4268912,51.7639523
21.4314955,51.7735569
21.4320893,51.7797128
21.4313642,51.7863849
21.4255968,51.7965086
21.4158857,51.8028907
21.404226,51.8085462
21.8318903,50.8830242
21.829487,50.8919042
21.829487,50.9009989
21.8281138,50.9100919
21.8270838,50.9174516
21.8222773,50.9228624
21.8143808,50.93022
21.8112909,50.9395236
21.8116343,50.9475276
21.8137144,50.9530512
21.8150675,50.9566115
21.8164408,50.9618015
21.818844,50.9669909
21.818844,50.9723959
21.8181681,50.9801732
21.8181574,50.9845009
21.820904,50.9894717
21.8212473,50.9935776
21.8195307,50.9998438
21.8181574,51.0080533
21.8157541,51.0112936
21.8106043,51.0145336
21.8044245,51.0175574
21.8016779,51.0199331
21.8007689,51.0223383
21.8009913,51.0249
21.8057978,51.0296506
21.8106929,51.0325481
21.8116343,51.0331052
21.8160975,51.035696
21.8191874,51.0402295
21.8214708,51.044385
21.8241932,51.0491267
21.8243861,51.0496115
21.8247746,51.0509223
21.8246805,51.0533959
21.8239903,51.0555673
21.8235054,51.056625
21.8229174,51.0576701
21.8203157,51.0595082
21.8174707,51.0611644
21.810261,51.065264
21.8020212,51.0702261
21.7979014,51.074972
21.7961847,51.0805801
21.7961698,51.0818553
21.7963748,51.0847385
21.7966096,51.0856327
21.7971948,51.0867059
21.7989313,51.089638
21.7989393,51.0917159
21.798588,51.0939506
21.7958414,51.0980473
21.7941248,51.1023591
21.7941248,51.1071017
21.7958414,51.1111972
21.7961847,51.1155078
21.7941248,51.1193871
21.7927515,51.1247743
21.7944681,51.1299455
21.7944681,51.1351161
21.7924082,51.1383475
21.7876017,51.1420094
21.7824518,51.1452402
21.7806006,51.1478934
21.7800527,51.1486803
21.7800508,51.1486835
21.7800499,51.1486867
21.7800492,51.148691
21.7800492,51.1486949
21.7803919,51.1534241
21.7831385,51.1575154
21.7845118,51.1618218
21.7834818,51.1661277
21.7824518,51.1704332
21.7838251,51.174523
21.7858851,51.1783973
21.788975,51.1837777
21.788975,51.1876512
21.786915,51.1928153
21.786915,51.1964729
21.788975,51.2009907
21.7944681,51.2040023
21.7982447,51.2070138
21.7999613,51.2111004
21.8003046,51.2151866
21.798588,51.2199176
21.7989313,51.223143
21.7993548,51.2236749
21.8023645,51.2274432
21.8071711,51.2306681
21.810261,51.2343227
21.8106043,51.237762
21.8097709,51.2398491
21.8085444,51.2429206
21.8061411,51.2476487
21.8057978,51.2523764
21.809231,51.2560292
21.8140375,51.2603263
21.8163835,51.2647435
21.8217895,51.2672889
21.8233072,51.2682749
21.8281138,51.2695638
21.8336069,51.2699934
21.8408167,51.2695638
21.8481962,51.2708252
21.8535196,51.2719265
21.8579828,51.274504
21.8614161,51.2781551
21.8623646,51.2801108
21.8626265,51.2824021
21.8619058,51.2846091
21.8618452,51.2871742
21.8640322,51.2926928
21.8663395,51.2941983
21.8730851,51.2968354
21.8791953,51.3000742
21.882025,51.3043986
21.8875172,51.3070379
21.8930018,51.3090704
21.8943661,51.309273
21.8986542,51.3099097
21.9059305,51.3113858
21.9095743,51.3129759
21.9131667,51.3156673
21.9165119,51.3190187
21.9225275,51.3215165
21.927334,51.3234475
21.9342005,51.3240912
21.940037,51.3243057
21.9448071,51.3256968
21.9451868,51.3258075
21.9510233,51.3281674
21.9551432,51.3313852
21.9575464,51.3348173
21.9589197,51.3384636
21.9633829,51.3418952
21.9685328,51.3444686
21.9757425,51.3476853
21.9824455,51.3509903
21.9846689,51.3549756
21.9843256,51.360121
21.982609,51.3648371
21.9781458,51.369124
21.9716227,51.3723389
21.9654429,51.3755536
21.9630396,51.3787681
21.962353,51.3830538
21.961323,51.3875532
21.9577608,51.3908732
21.949219,51.3945837
21.9461616,51.3965863
21.9437997,51.399253
21.9422893,51.4021066
21.9420945,51.406487
21.2457738,51.9243068
21.2494125,51.9265493
21.2679338,51.9379206
21.273539800000002,51.947595
21.2747288,51.9493945
21.2831293,51.9604463
21.2802696,51.9672009
21.2631111,51.9756427
21.2495272,51.9823216
21.2426181,51.9867878
21.2339773,51.9911641
21.2306255,51.9921414
21.2280912,51.9934067
21.2257625,51.995178
21.2232967,51.9987205
21.2227171,52.0018754
21.2252193,52.0165078
21.2286053,52.0235686
21.2306036,52.0272967
21.2303038,52.0308376
21.2278858,52.034298
21.2175933,52.0475535
21.2013285,52.0595335
21.2002634,52.0640979
21.2010902,52.0680311
21.2060791,52.0735992
21.2094907,52.0774059
21.2124696,52.0839232
21.2102637,52.0873339
21.2105038,52.0891434
21.2096031,52.0919286
21.2091509,52.0942774
21.2085302,52.096531
21.2093253,52.0991633
21.208698,52.1021037
21.0970071,52.2130832
21.093441,52.2150154
21.0929481,52.2152824
21.0928273,52.2153555
21.0903548,52.2163331
21.0903548,52.2163331
21.0878524,52.2171227
21.0852898,52.2177327
21.0826798,52.2182139
21.0804616,52.2184974
21.0781971,52.2186521
21.0753484,52.2187302
21.0727633,52.2186167
21.0701382,52.2185287
21.0669912,52.2186664
21.0644184,52.2188678
21.0635274,52.2189375
21.0609448,52.2194814
21.0596437,52.2198272
21.0583641,52.2202074
21.0557537,52.2212354
21.0536744,52.2222635
21.0522086,52.2231331
21.0508021,52.2241625
21.0498937,52.2249437
21.0493723,52.2254132
21.04894,52.2258276
21.0476555,52.2271554
21.0464944,52.2284541
21.044381,52.2311292
21.0423334,52.2334976
21.0395388,52.2356353
21.0390302,52.2362137
21.0368505,52.2385994
21.0356313,52.2395796
21.0343762,52.2405084
21.0328657,52.2415681
21.0312443,52.2426308
21.0293008,52.2438373
21.0271711,52.2450552
21.0237886,52.2469051
21.0231288,52.247316
21.0218753,52.2481937
21.0210206,52.2488811
21.2802711,51.8676938
21.2795736,51.8700058
21.2783074,51.872267
21.2767665,51.8742876
21.2722866,51.8778029
21.2687574,51.8803298
21.2662899,51.881918
21.2629185,51.885201
21.2585331,51.8881422
21.2542347,51.8904053
21.2524225,51.8913684
21.2502914,51.8928098
21.2459789,51.8959352
21.2409831,51.898853
21.2396108,51.9009674
21.2385536,51.9030484
21.2367561,51.9061695
21.2368672,51.9085146
21.2371441,51.9108438
21.2371224,51.9147971
21.2381899,51.9183542
21.2407938,51.9205627
21.2430324,51.922775
21.2457738,51.9243068
21.6127319,51.6205005
21.6083015,51.6208443
21.6033964,51.621663
21.6013395,51.6214174
21.5994671,51.6207297
21.5974365,51.6205987
21.5945092,51.6214665
21.5873362,51.6244954
21.5851474,51.6267874
21.5840134,51.6276878
21.5824838,51.6282771
21.5800397,51.6293223
21.5774733,51.6316656
21.5752693,51.6329654
21.573834,51.6341046
21.5719089,51.6367398
21.5668865,51.6411931
21.5636381,51.6439596
21.5582245,51.6478676
21.5550663,51.6493326
21.5512522,51.6526269
21.5504689,51.6533823
21.5501524,51.654184
21.5502843,51.6554438
21.5512864,51.6576197
21.5509963,51.6582577
21.5467768,51.6621348
21.54501,51.6628546
21.5434013,51.6633126
21.5402303,51.6637388
21.5284229,51.6650257
21.5166893,51.6674238
21.4961773,51.6635269
21.4881694,51.6623493
21.4832728,51.6628274
21.4774302,51.6642627
21.4736693,51.666077
21.4710442,51.6680177
21.4697204,51.6693677
21.4676102,51.6715195
21.4660749,51.6741587
21.4632922,51.6825321
21.4631703,51.6849826
21.455761,51.6998132
21.4524891,51.7015769
21.4466295,51.7048892
21.4404142,51.7064651
21.4369712,51.710071
21.431803,51.7180084
21.4285739,51.7242149
21.4263069,51.7295857
21.4215639,51.7349951
20.9249686,52.3404033
20.9233349,52.3436312
20.9214611,52.3454845
20.9175134,52.3508384
20.91479,52.3529246
20.9110238,52.3552794
20.908164,52.3596864
20.9092835,52.363768
20.9061822,52.3712229
20.9005397,52.3754993
20.8858542,52.3788178
20.8694814,52.3782443
20.8584168,52.3770324
20.8356508,52.3759222
20.8279232,52.3769507
20.8202814,52.3785162
20.8093636,52.3866898
20.8073773,52.3920872
20.8025156,52.3941323
20.7895589,52.3960469
20.7853612,52.3967945
20.7751657,52.3984332
20.7580072,52.4046854
20.7503812,52.406212
20.7373931,52.4058122
20.7199367,52.4076658
20.7055784,52.4141348
20.7004547,52.4200214
20.6944607,52.426701
20.6921723,52.4276765
20.6864154,52.4287252
20.6739572,52.4299849
20.6624978,52.4296008
19.692282,52.5360024
19.6720445,52.5427701
19.6381942,52.5523862
19.5589911,52.5673206
19.5381112,52.5712343
19.532207,52.5723409
19.5203035,52.576283
19.4987471,52.583421
19.4546935,52.6023954
19.4173041,52.6146315
19.4091623,52.6172955
19.3949006,52.6206779
19.382249,52.6236782
19.3593522,52.6256554
19.3469757,52.6256422
19.3126736,52.6256055
19.3074707,52.6255999
19.2605283,52.634188
19.2347656,52.6422035
19.1863011,52.6520264
19.1730702,52.6543857
19.1603896,52.6566468
19.147643,52.6567432
20.9773631,52.2944885
20.9748514,52.2949071
20.972342,52.2953736
20.9702337,52.2959018
20.9667447,52.2970675
20.9629097,52.2987905
20.9603877,52.3001463
20.9576315,52.3015906
20.9560919,52.3025738
20.9553688,52.3032039
20.9545319,52.3040492
20.9539324,52.3046391
20.9525125,52.3065274
20.9520741,52.3070083
20.9513385,52.3077973
20.949673399999998,52.3092007
20.94749,52.310654
20.9457161,52.3116227
20.9441061,52.3123742
20.9351927,52.3175837
20.9323678,52.3195856
20.9300901,52.3214126
20.9284668,52.322932
20.9274225,52.3243337
20.9251225,52.3294304
20.9256405,52.3346231
20.9253977,52.337509
20.9249891,52.3389825
20.9249686,52.3404033
21.208698,52.1021037
21.2052772,52.1061501
21.203524,52.108411
21.201105,52.1102241
21.1863744,52.1156172
21.1801187,52.1215802
21.1772857,52.1253315
21.1759276,52.1276701
21.1732069,52.1323549
21.1710304,52.1365479
21.1695774,52.1379476
21.1677941,52.1394508
21.1629216,52.1414448
21.1620277,52.1419733
21.1615567,52.1424775
21.1570604,52.1498289
21.1562558,52.1516823
21.1553563,52.152554
21.1537683,52.1534198
21.1482216,52.1547513
21.1460736,52.1555873
21.143737,52.1576864
21.1430919,52.1588552
21.1427289,52.1604656
21.1423679,52.1620909
21.1371824,52.1713504
21.4631703,51.6849826
21.4642846,51.6883073
21.4639886,51.6894406
21.4612626,51.6925017
21.4567455,51.6988517
21.455761,51.6998132
21.455761,51.6998132
21.4543669,51.7038681
21.452723,51.7063015
21.4509057,51.7073471
21.4485123,51.7095594
21.4465801,51.7123241
21.4461465,51.7128604
21.445645,51.713076
21.444325,51.7132034
21.4439835,51.7136907
21.4443854,51.7153097
21.4459208,51.7169911
21.4462272,51.7190681
21.4449028,51.7197161
21.4423889,51.7203111
21.442171600000002,51.7205714
21.4422068,51.7218007
21.4419349,51.722548
21.4419706,51.7227688
21.4421351,51.7229697
21.4428699,51.7234606
21.4434437,51.7240845
21.4434926,51.7247592
21.4431734,51.7250165
21.4429387,51.7253778
21.4429662,51.7256249
21.4433639,51.7258753
21.44336,51.726123
21.4421275,51.7271553
21.4411169,51.7278822
21.4392065,51.7288844
21.4377069,51.7297448
21.4357275,51.7302879
21.4329984,51.7306007
21.4325904,51.7307363
21.4324398,51.7309317
21.4323361,51.7313176
21.4316744,51.7315241
21.4310717,51.7315806
21.4305673,51.731498
21.4301166,51.7314487
21.4215639,51.7349951
19.7499512,52.4887858
19.7472071,52.491023
19.7445678,52.492826
19.7413277,52.495269
19.7387099,52.4973723
19.7367572,52.4991097
19.7349548,52.501265
19.7337746,52.5036814
19.7331738,52.5065941
19.733324,52.508736
19.7330021,52.5114262
19.7328948,52.5134895
19.7324657,52.515605
19.7319292,52.5177203
19.7304976,52.519897
